Frame,Car_Count,Truck_Count,Bike_Count,Bus_Count,2_Wheeler_Count,3_Wheeler_Count,4_Wheeler_Count,6_Wheeler_Count,Other_Vehicles,Avg_Speed_kmh,Time_To_Cross_sec,Total_Vehicles,Total Vehicles,Vehicle Density
72,0,0,0,1,0,0,0,1,14,49.69850731,2.4,15,14,6.75E-06
73,0,0,0,0,0,0,0,0,15,43.5755622,2.433333333,15,15,7.23E-06
74,0,0,0,0,0,0,0,0,15,45.64377347,2.466666667,15,15,7.23E-06
75,0,0,0,0,0,0,0,0,15,39.87261086,2.5,15,15,7.23E-06
76,0,0,0,0,0,0,0,0,15,51.04403981,2.533333333,15,15,7.23E-06
77,0,0,0,0,0,0,0,0,15,32.32018707,2.566666667,15,15,7.23E-06
78,0,0,0,0,0,0,0,0,15,50.31099773,2.6,15,15,7.23E-06
79,0,0,0,0,0,0,0,0,15,48.50219841,2.633333333,15,15,7.23E-06
80,0,0,0,0,0,0,0,0,15,58.83947601,2.666666667,15,15,7.23E-06
81,0,0,0,0,0,0,0,0,15,48.0010569,2.7,15,15,7.23E-06
82,0,0,0,0,0,0,0,0,15,30.48693597,2.733333333,15,15,7.23E-06
83,0,0,0,0,0,0,0,0,14,42.15088194,2.766666667,14,14,6.75E-06
84,0,0,0,0,0,0,0,0,13,39.9251994,2.8,13,13,6.27E-06
85,0,0,0,0,0,0,0,0,13,50.8893411,2.833333333,13,13,6.27E-06
86,0,1,0,0,0,0,1,0,13,46.7024987,2.866666667,14,14,6.75E-06
87,0,0,0,0,0,0,0,0,13,39.63098437,2.9,13,13,6.27E-06
88,0,0,0,0,0,0,0,0,13,38.91321662,2.933333333,13,13,6.27E-06
89,0,0,0,0,0,0,0,0,13,54.9057658,2.966666667,13,13,6.27E-06
90,0,0,0,0,0,0,0,0,13,39.57535418,3,13,13,6.27E-06
91,0,0,0,0,0,0,0,0,13,55.27595201,3.033333333,13,13,6.27E-06
92,0,0,0,0,0,0,0,0,13,48.68901341,3.066666667,13,13,6.27E-06
93,0,0,0,0,0,0,0,0,13,33.36632595,3.1,13,13,6.27E-06
94,0,0,0,0,0,0,0,0,13,55.13709649,3.133333333,13,13,6.27E-06
95,0,0,0,0,0,0,0,0,13,40.13526128,3.166666667,13,13,6.27E-06
96,0,0,0,0,0,0,0,0,13,53.03275413,3.2,13,13,6.27E-06
97,0,0,0,0,0,0,0,0,13,52.32182626,3.233333333,13,13,6.27E-06
98,0,0,0,0,0,0,0,0,13,47.21285145,3.266666667,13,13,6.27E-06
99,0,0,0,0,0,0,0,0,13,41.55951827,3.3,13,13,6.27E-06
100,0,0,0,0,0,0,0,0,12,39.06680826,3.333333333,12,12,5.79E-06
101,0,0,0,0,0,0,0,0,12,57.05314854,3.366666667,12,12,5.79E-06
102,0,0,0,0,0,0,0,0,12,34.32249648,3.4,12,12,5.79E-06
103,0,0,0,0,0,0,0,0,12,37.99923458,3.433333333,12,12,5.79E-06
104,0,0,0,0,0,0,0,0,12,41.4965235,3.466666667,12,12,5.79E-06
105,0,0,0,0,0,0,0,0,12,49.70032952,3.5,12,12,5.79E-06
106,0,0,0,0,0,0,0,0,12,37.64872301,3.533333333,12,12,5.79E-06
107,0,0,0,0,0,0,0,0,12,33.68317868,3.566666667,12,12,5.79E-06
108,0,0,0,0,0,0,0,0,11,41.51140937,3.6,11,11,5.30E-06
109,0,0,0,0,0,0,0,0,11,49.16809017,3.633333333,11,11,5.30E-06
110,0,0,0,0,0,0,0,0,11,48.91007013,3.666666667,11,11,5.30E-06
111,0,0,0,0,0,0,0,0,11,47.28196528,3.7,11,11,5.30E-06
112,0,0,0,0,0,0,0,0,11,45.6359839,3.733333333,11,11,5.30E-06
113,0,0,0,0,0,0,0,0,11,31.19913252,3.766666667,11,11,5.30E-06
114,0,0,0,0,0,0,0,0,11,37.90059526,3.8,11,11,5.30E-06
115,0,0,0,0,0,0,0,0,11,40.32349403,3.833333333,11,11,5.30E-06
116,0,0,0,0,0,0,0,0,10,39.933989,3.866666667,10,10,4.82E-06
117,0,0,0,0,0,0,0,0,10,59.09271801,3.9,10,10,4.82E-06
118,0,1,0,0,0,0,1,0,10,54.07797497,3.933333333,11,11,5.30E-06
119,0,1,0,1,0,0,1,1,10,33.32127446,3.966666667,12,11,5.30E-06
120,0,2,0,1,0,0,2,1,10,42.05731461,4,13,12,5.79E-06
121,0,0,0,2,0,0,0,2,11,43.05946726,4.033333333,13,11,5.30E-06
122,0,0,0,0,0,0,0,0,12,45.95423563,4.066666667,12,12,5.79E-06
123,0,0,0,0,0,0,0,0,12,45.60179929,4.1,12,12,5.79E-06
124,0,0,0,0,0,0,0,0,12,53.03374923,4.133333333,12,12,5.79E-06
